#Release 13.4 - par O.87xd (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sun Feb 19 19:35:34 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DECODE_map.ncd
#OUTPUT FILE:      DECODE_pad.csv
#PART TYPE:        xc3s1600e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,Instr<24>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A4,Instr<21>,IBUF,IO_L24P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A5,Instr<17>,IBUF,IP_L22P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A6,Immed<26>,IOB,IO_L20N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A7,Immed<23>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A8,Immed<13>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A9,,,VCCO_0,,,0,,,,,2.50,,,,
A10,Immed<19>,IOB,IO_L12N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A11,Immed<10>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A12,Immed<6>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A13,Immed<0>,IOB,IO_L05P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A14,Immed<4>,IOB,IO_L04N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A15,Instr<2>,IBUF,IP_L02N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A16,Immed<16>,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,PROG_B,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,Instr<23>,IBUF,IO_L25N_0/HSWAP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B4,Instr<22>,IBUF,IO_L24N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B5,Instr<18>,IBUF,IP_L22N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B6,Immed<29>,IOB,IO_L20P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B7,,,VCCAUX,,,,,,,,2.5,,,,
